Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
16,AMKE,1,2,1,2,0,59.2,0.018240217,0.079621434,72,0.077503982,71.76588042,30.76588042,,,,,
16,AMKE,1,2,0,2,0,59,0.017825019,0.079621434,72,0.077600525,71.77669325,30.77669325,,,,,
16,AMKE,1,1,1,2,0,59.2,0.018240217,0.081476056,72.2,0.079408074,71.97669332,30.97669332,,,,,
16,AMKE,1,3,1,2,0,59.2,0.018240217,0.081476056,72.2,0.079408074,71.97669332,30.97669332,,,,,
16,AMKE,1,2,1,2,0,59.2,0.018240217,0.082419504,72.3,0.080375799,72.08190619,31.08190619,,,,,
16,AMKE,3,3,1,2,0,59.4,0.018665086,0.084339301,72.5,0.082247992,72.28190621,31.28190621,,,,,
16,AMKE,3,1,0,2,0,59.3,0.018451429,0.084339301,72.5,0.082296187,72.2869944,31.2869944,,,,,
16,AMKE,1,2,1,2,0,59.2,0.018240217,0.085315904,72.6,0.083343254,72.39680912,31.39680912,,,,,
16,AMKE,2,1,0,2,0,59.8,0.019544744,0.088314089,72.9,0.08612422,72.68190614,31.68190614,,,,,
16,AMKE,1,1,1,2,0,59.3,0.018451429,0.087303166,72.8,0.085331047,72.60154156,31.60154156,,,,,
16,AMKE,1,3,0,2,0,59.1,0.018031423,0.087303166,72.8,0.085420785,72.61067129,31.61067129,,,,,
16,AMKE,1,3,1,2,0,59.2,0.018240217,0.088314089,72.9,0.086409911,72.71067129,31.71067129,,,,,
16,AMKE,3,1,0,2,0,59.2,0.018240217,0.089336718,73,0.087454809,72.81507403,31.81507403,,,,,
16,AMKE,3,1,1,2,0,59.4,0.018665086,0.090371189,73.1,0.088422658,72.91067136,31.91067136,,,,,
16,AMKE,3,3,0,2,0,59.3,0.018451429,0.090371189,73.1,0.088467489,72.91507408,31.91507408,,,,,
16,AMKE,1,3,1,2,0,59.3,0.018451429,0.093547028,73.4,0.091709276,73.22766534,32.22766534,,,,,
16,AMKE,3,1,1,2,0,59.6,0.019099852,0.094630252,73.5,0.092682686,73.3193723,32.3193723,,,,,
16,AMKE,1,1,1,2,0,59.5,0.018881218,0.094630252,73.5,0.092727473,73.32356855,32.32356855,,,,,
16,AMKE,3,3,0,2,0,59.2,0.018240217,0.094630252,73.5,0.09285569,73.33557047,32.33557047,,,,,
16,AMKE,3,3,1,2,0,59.5,0.018881218,0.096834474,73.7,0.094975865,73.53166525,32.53166525,,,,,
16,AMKE,1,3,1,2,0,59.2,0.018240217,0.097955764,73.8,0.096242538,73.64674146,32.64674146,,,,,
16,AMKE,3,2,1,2,0,59.3,0.018451429,0.099090038,73.9,0.097356974,73.74674143,32.74674143,,,,,
16,AMKE,3,2,1,2,0,59.4,0.018665086,0.101398142,74.1,0.099665429,73.95029091,32.95029091,,,,,
16,AMKE,1,1,1,2,0,59.2,0.018240217,0.101398142,74.1,0.099744061,73.957141,32.957141,,,,,
16,AMKE,2,3,0,2,0,59.8,0.019544744,0.103760008,74.3,0.101902612,74.14310637,33.14310637,,,,,
